i_episode 0	reward_accu: -1 	action_length: 1
i_episode 1	reward_accu: -1 	action_length: 1
i_episode 2	reward_accu: -1 	action_length: 2
i_episode 3	reward_accu: -1 	action_length: 3
i_episode 4	reward_accu: -1 	action_length: 2
i_episode 5	reward_accu: -1 	action_length: 1
i_episode 6	reward_accu: -1 	action_length: 1
i_episode 7	reward_accu: -1 	action_length: 1
i_episode 8	reward_accu: -1 	action_length: 1
i_episode 9	reward_accu: -1 	action_length: 1
i_episode 10	reward_accu: -1 	action_length: 2
i_episode 11	reward_accu: -1 	action_length: 1
i_episode 12	reward_accu: -1 	action_length: 1
i_episode 13	reward_accu: -1 	action_length: 2
i_episode 14	reward_accu: -1 	action_length: 1
i_episode 15	reward_accu: -1 	action_length: 1
i_episode 16	reward_accu: -1 	action_length: 3
i_episode 17	reward_accu: -1 	action_length: 1
i_episode 18	reward_accu: -1 	action_length: 1
i_episode 19	reward_accu: -1 	action_length: 1
i_episode 20	reward_accu: -1 	action_length: 1
i_episode 21	reward_accu: -1 	action_length: 2
i_episode 22	reward_accu: -1 	action_length: 1
i_episode 23	reward_accu: -1 	action_length: 1
i_episode 24	reward_accu: -1 	action_length: 1
i_episode 25	reward_accu: -1 	action_length: 1
i_episode 26	reward_accu: -1 	action_length: 1
i_episode 27	reward_accu: -1 	action_length: 1
i_episode 28	reward_accu: -1 	action_length: 2
i_episode 29	reward_accu: -1 	action_length: 1
i_episode 30	reward_accu: -1 	action_length: 1
i_episode 31	reward_accu: -1 	action_length: 1
i_episode 32	reward_accu: -1 	action_length: 1
i_episode 33	reward_accu: -1 	action_length: 1
i_episode 34	reward_accu: -1 	action_length: 1
i_episode 35	reward_accu: -1 	action_length: 1
i_episode 36	reward_accu: -1 	action_length: 1
i_episode 37	reward_accu: -1 	action_length: 1
i_episode 38	reward_accu: -1 	action_length: 1
i_episode 39	reward_accu: -1 	action_length: 1
i_episode 40	reward_accu: -1 	action_length: 1
i_episode 41	reward_accu: -1 	action_length: 1
i_episode 42	reward_accu: -1 	action_length: 1
i_episode 43	reward_accu: -1 	action_length: 1
i_episode 44	reward_accu: -1 	action_length: 1
i_episode 45	reward_accu: -1 	action_length: 1
i_episode 46	reward_accu: -1 	action_length: 2
i_episode 47	reward_accu: -1 	action_length: 1
i_episode 48	reward_accu: -1 	action_length: 1
i_episode 49	reward_accu: -1 	action_length: 1
i_episode 50	reward_accu: -1 	action_length: 1
i_episode 51	reward_accu: -1 	action_length: 3
i_episode 52	reward_accu: -1 	action_length: 1
i_episode 53	reward_accu: -1 	action_length: 1
i_episode 54	reward_accu: -1 	action_length: 2
i_episode 55	reward_accu: -1 	action_length: 1
i_episode 56	reward_accu: -1 	action_length: 1
i_episode 57	reward_accu: -1 	action_length: 2
i_episode 58	reward_accu: -1 	action_length: 1
i_episode 59	reward_accu: -1 	action_length: 1
i_episode 60	reward_accu: -1 	action_length: 1
i_episode 61	reward_accu: -1 	action_length: 3
i_episode 62	reward_accu: -1 	action_length: 1
i_episode 63	reward_accu: -1 	action_length: 2
i_episode 64	reward_accu: -1 	action_length: 1
i_episode 65	reward_accu: -1 	action_length: 1
i_episode 66	reward_accu: -1 	action_length: 1
